Publisher,Address
Leibniz-Institute for Psychology Information (ZPID),https://www.zpid.de/index.php?lang=EN
Lithuanian Research Centre for Agriculture and Forestry,https://www.lammc.lt
Lithuanian University of Educational Sciences,https://leu.lt
Logical Methods in Computer Science e.V.,https://lmcs.episciences.org
Lviv Polytechnic National University,http://www.lp.edu.ua
LymphoSign Journal Limited Partnership,None
Mark Allen Group,http://www.markallengroup.com/
Mathematical Sciences Publishers,https://msp.org/
MDPI AG,http://www.mdpi.com/
Medicinos Mintis,None
MIT Press - Journals,https://mitpress.mit.edu/
Mohr Siebeck,http://mohr.de
Morgan & Claypool Publishers LLC,https://www.morganclaypool.com/
National Bank of Ukraine,http://bank.gov.ua
Nepal Journals Online (JOL),https://www.nepjol.info/
New Prairie Press,http://newprairiepress.org
Open Book Publishers,http://openbookpublishers.com
Open Library of the Humanities,https://www.openlibhums.org/
Open Publishing Association,http://opa.eptcs.org/
OpenEdition,http://openedition.org
Oxford Institute for Energy Studies,https://www.oxfordenergy.org/
Oxford University Press (OUP),http://oup.com
Peer Community In,https://peercommunityin.org/
PeerJ,http://peerj.com
Pensoft Publishers,http://pensoft.net
Perio J,http://periojackson.com
Petro Mohyla Black Sea National University,https://chmnu.edu.ua
Places Journal,http://placesjournal.org
Polskie Naukowo-Techniczne Towarzystwo Eksploatacyjne,https://pntte.wordpress.com/
Portland Press Ltd.,http://www.portlandpress.com
Proceedings of the National Academy of Sciences,http://www.pnas.org/
Public Library of Science (PLoS),https://www.plos.org/
Quantum,https://quantum-journal.org/impressum/
Research-Publishing.net,http://research-publishing.net
Rockefeller University Press,http://rupress.org
Royal College of Obstetricians & Gynaecologists (RCOG),http://rcog.org.uk
Royal Society of Chemistry (RSC),http://rsc.org
SAGE Publications,http://sagepublications.com
Samara State Technical University,https://samgtu.com/
Saratov State University,https://www.sgu.ru
FapUNIFESP (SciELO),http://www.scielo.org/
ScienceOpen,http://scienceopen.com
Scientific Scholar,http://scientificscholar.com
SciPost,https://scipost.org/
SciPress Ltd,https://www.scipress.com/
Scrivener Publishing,http://scrivenerpublishing.com
Secretariat of The Indonesian Biomedical Journal,http://inabj.org
Singapore Medical Journal,http://www.smj.org.sg/
Springer Nature,http://springernature.com
Taylor & Francis,http://taylorandfrancis.com
"Technical University of Kosice, Faculty of Metallurgy",http://fmmr.tuke.sk
Texas Heart Institute Journal,http://www.texasheart.org/Education/THIJournal/
The American Association of Immunologists,http://aai.org
The Company of Biologists,http://www.biologists.com/
The Electrochemical Society,http://www.electrochem.org/
The Korean Society of Dental Hygience Science,http://www.jksdh.or.kr/
The Open Journal,https://www.theoj.org/
The Quantitative Methods for Psychology,http://www.tqmp.org/
The Royal Society,http://royalsociety.org
Trans Tech Publications,https://www.scientific.net/
Tyumen State University,https://www.utmn.ru
"Ubiquity Press, Ltd.",https://www.ubiquitypress.com/
Universitas Suryakancana,http://www.unsur.ac.id/
University of Adelaide Press,https://www.adelaide.edu.au/press/
UTS ePRESS,http://epress.lib.uts.edu.au/
Veruscript,http://veruscript.com
Veterinary World,http://veterinaryworld.org
Vilnius Gediminas Technical University,http://www.vgtu.lt
VTeX,http://vtex.lt
Wageningen Academic Publishers,http://www.wageningenacademic.com/
Weed Science Society of America,http://wssa.net/
Western Journal of Emergency Medicine,http://westjem.com
Wiley-Blackwell,https://www.wiley.com
World Scientific Pub Co Pte Lt,http://www.worldscientific.com/
XMLArchive,None
