"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"All-Russian Institute of Plant Protection (ID 17305)","All-Russian Institute of Plant Protection10.31993","open","84","61","false","true"
"Allerton Press (ID 1627)","Allerton Press10.3103","open","44223","7403","true","true"
"AlMaarif University College (AUC) (ID 28074)","AlMaarif University College (AUC)10.51345","open","0","110","false","true"
"Alman Dili ve Kulturu Arastirmalari Dergisi (ID 33858)","Alman Dili ve Kulturu Arastirmalari Dergisi10.55143","open","0","3","false","true"
"Almaty Technological University JSC (ID 28270)","Almaty Technological University JSC10.48184","open","0","106","false","true"
"Almaz-Antei Air and Space Defence Corporation (ID 25064)","Almaz-Antei Air and Space Defence Corporation10.38013","open","343","90","true","true"
"Altai State Technical University (ID 31132)","Altai State Technical University10.25712","open","291","490","true","true"
"Altai State University (ID 5386)","Altai State University10.14258","open","3841","1938","true","true"
"Altinbas University (ID 31672)","Altinbas University10.53600","open","0","17","false","true"
"ALTSA Publisher (ID 20660)","ALTSA Publisher10.35307","open","35","40","false","true"
"ALUNA (ID 22436)","ALUNA10.36740","open","493","1428","true","true"
"Alwasl University (ID 27582)","Alwasl University10.47798","open","12","49","true","true"
"Amasya University (ID 7009)","Amasya Universitesi Egitim Fakultesi Dergisi10.17539","limited","0","28","false","true"
"Amasya University (ID 7009)","International Journal of Science Letters10.38058","open","0","28","false","true"
"Amasya University (ID 7009)","Journal of Amasya University the Institute of Sciences and Technology10.54559","open","0","28","false","true"
"Amasya University (ID 7009)","Review of the Faculty of Divinity of Amasya University10.18498","limited","0","28","false","true"
"Amasya University (ID 7009)","Sabuncuoglu Serefeddin Health Sciences10.55895","open","0","28","false","true"
"AMED iD3 Catalyst Unit (ID 19345)","AMED iD3 Catalyst Unit10.33611","open","12","47","true","true"
"American Academy of Pediatrics (AAP) (ID 417)","American Academy of Pediatrics10.1542","open","76059","8587","true","true"
"American Accounting Association (ID 1112)","American Accounting Association10.2308","open","8321","1236","true","true"
"American Association for Laboratory Animal Science (ID 12258)","American Association for Laboratory Animal Science10.30802","open","207","311","false","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","AAAS0010.34133","open","385174","21606","true","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","American Association for the Advancement of Science (AAAS)10.1126","open","385174","21606","true","true"
"American Association of Swine Veterinarians (ID 33179)","American Association of Swine Veterinarians10.54846","open","0","8","false","true"
"American Astronomical Society (ID 2208)","American Astronomical Society10.3847","open","152392","12537","true","true"
"American Bilingual University (ID 26338)","American Bilingual University10.46910","open","0","4","false","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.1021","open","1626801","180980","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society10.26434","open","1626801","180980","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society (ACS)10.29200","open","1626801","180980","true","true"
"American Chemical Society (ACS) (ID 316)","American Chemical Society (C&EN)10.47287","open","1626801","180980","true","true"
"American College of Radiology (ID 32234)","American College of Radiology10.54057","open","3","1","true","true"
"American Dairy Science Association (ID 1747)","American Dairy Science Association10.3168","open","34200","2598","true","true"
"American Dental Society of Anesthesiology (ADSA) (ID 1191)","American Dental Society of Anethesiology10.2344","open","545","107","true","true"
"American Diabetes Association (ID 1167)","American Diabetes Association10.2337","open","49449","8399","true","true"
"American Fisheries Society (ID 460)","American Fisheries Society10.1577","limited","7021","114","true","false"
"American Fisheries Society (ID 460)","American Fisheries Society10.47886","open","7021","114","true","false"
"American Geophysical Union (AGU) (ID 13)","American Geophysical Union10.1029","open","230686","19661","true","true"
"American Institute of Aeronautics and Astronautics (AIAA) (ID 1387)","American Institute of Aeronautics and Astronautics10.2514","open","261047","21747","true","true"
"American Institute of Mathematical Sciences (AIMS) (ID 2321)","American Institute of Mathematical Sciences10.3934","open","19201","10061","true","true"
"American Interventional Headache Society Annals of Headache Medicine (ID 12208)","American Interventional Headache Society Annals of Headache Medicine10.30756","open","2","24","true","true"
"American Journal of Environmental Biology (ID 27364)","American Journal of Environmental Biology10.47610","open","0","5","false","true"
"American Mathematical Society (AMS) (ID 14)","American Mathematical Society10.1090","open","134477","5622","true","true"
"American Medical Association (AMA) (ID 10)","American Medical Association10.1001","open","603010","18695","true","true"
"American Meteorological Society (ID 12)","American Meteorological Society10.1175","open","116126","5294","true","true"
"American Pharmacists Association (ID 23)","American Pharmacists Association10.21019","open","3523","622","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society10.1103","open","661523","50657","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society (APS)10.29172","limited","661523","50657","true","true"
"American Physiological Society (ID 24)","American Physiological Society10.1152","open","171079","5855","true","true"
"American Review of Political Economy (ID 25055)","American Review of Political Economy10.38024","open","98","30","false","true"
"American Roentgen Ray Society (ID 1049)","American Roentgen Ray Society10.2214","open","32687","1388","true","true"
"American Shore and Beach Preservation Association (ID 20104)","American Shore and Beach Preservation Association10.34237","open","17","73","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry and Molecular Biology10.1074","open","137","17","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry and Molecular Biology, Journal of Lipid Research10.1194","open","137","17","true","true"
"American Society for Cell Biology (ASCB) (ID 1076)","American Society for Cell Biology10.1187","open","11007","783","true","true"
"American Society for Cell Biology (ASCB) (ID 1076)","American Society for Cell Biology10.1091","open","11007","783","true","true"
"American Society for Clinical Investigation (ID 232)","American Society for Clinical Investigation10.1172","open","33032","2771","true","true"
"American Society for Microbiology (ID 235)","American Society for Microbiology10.1128","open","302279","15345","true","true"
"American Society for Pharmacology & Experimental Therapeutics (ASPET) (ID 36)","American Society for Pharmacology & Experimental Therapeutics10.1124","open","18758","1049","true","true"
"American Society of Civil Engineers (ASCE) (ID 30)","American Society of Civil Engineers10.1061","open","193138","17690","true","true"
"American Society of Clinical Oncology (ASCO) (ID 233)","American Society of Clinical Oncology10.1200","open","119774","19021","true","true"
"American Society of Clinical Oncology (ASCO) (ID 233)","American Society of Clinical Oncology (Educational Books)10.14694","open","119774","19021","true","true"
"American Society of Health-System Pharmacists (ID 894)","American Society of Health-System Pharmacists10.37573","open","2416","510","true","true"
"American Society of Hematology (ID 234)","American Society of Hematology10.1182","open","152728","13471","true","true"
"American Society of Nephrology (ASN) (ID 736)","American Society of Nephrology10.1681","open","13464","2161","true","true"
"American Society of Nephrology (ASN) (ID 736)","American Society of Nephrology10.2215","open","13464","2161","true","true"
"American Society of Nephrology (ASN) (ID 736)","American Society of Nephrology (ASN)10.34067","open","13464","2161","true","true"
"American Society of Neuroradiology (ASNR) (ID 1756)","American Society of Neuroradiology10.3174","open","6038","1024","true","true"
"American Society of Parasitologists (ID 1220)","BioOne (American Society of Parasitologists)10.1645","open","4364","255","true","true"
"American Society of Tropical Medicine and Hygiene (ID 2795)","American Society of Tropical Medicine and Hygiene10.4269","open","21036","1791","true","true"
"American Speech Language Hearing Association (ID 1310)","American Speech-Language-Hearing Association10.1044","open","27807","3366","true","true"
"American Spinal Injury Association (ID 25425)","American Spinal Injury Association10.46292","open","795","89","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1164","open","61195","14679","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1165","open","61195","14679","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1513","open","61195","14679","true","true"
"American Thoracic Society (ID 19)","ATS Scholar10.34197","open","61195","14679","true","true"
"American Veterinary Medical Association (AVMA) (ID 1272)","American Veterinary Medical Association10.2460","open","12527","1339","true","true"
"AMG Transcend Association (ID 18784)","AMG Transcend Association10.33263","open","314","2303","true","false"
