"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Hogrefe Publishing Group (ID 101)","Hogrefe Publishing Group10.1024","open","39508","5005","true","true"
"Hogrefe Publishing Group (ID 101)","Hogrefe Publishing Group10.1027","open","39508","5005","true","true"
"Hogrefe Publishing Group (ID 101)","Hogrefe Publishing Group10.1026","open","39508","5005","true","true"
"Health Affairs (Project Hope) (ID 102)","Health Affairs (Project Hope)10.1377","open","16431","2271","true","true"
"International Bone & Mineral Society (ID 103)","International Bone & Mineral Society10.1138","open","0","0","false","false"
"Institute of Mathematical Statistics (ID 108)","Institute of Mathematical Statistics10.1214","open","27183","2823","true","true"
"Institute for Operations Research and the Management Sciences (INFORMS) (ID 109)","Institute for Operations Research and the Management Sciences (INFORMS)10.1287","open","36619","6409","true","true"
"Institute of Organic Chemistry & Biochemistry (ID 111)","Institute of Organic Chemistry & Biochemistry10.1135","open","20365","0","true","false"
"ISEAS - Yusof Ishak Institute (ID 112)","ISEAS - Yusof Ishak Institute10.1355","open","22967","1222","true","false"
"International Union of Pure and Applied Chemistry (IUPAC) (ID 113)","International Union of Pure and Applied Chemistry (IUPAC)10.1351","open","7026","13","true","true"
"Japanese Society of  Mammalian Ova Research (ID 116)","Japanese Society of  Mammalian Ova Research10.1274","open","639","0","true","false"
"Japan Society of Equine Science (ID 118)","Japan Society of Equine Science10.1294","open","470","45","true","true"
"Japanese Society of Hypertension (ID 119)","Japanese Society of Hypertension10.1291","open","1716","0","true","false"
"Japanese Physical Therapy Association (ID 120)","Japanese Physical Therapy Association10.1298","open","214","88","true","true"
"Japanese Society of Toxicologic Pathology (ID 121)","Japanese Society of Toxicologic Pathology10.1293","open","1154","119","true","true"
"Japanese Society of Veterinary Science (ID 122)","Japanese Society of Veterinary Science10.1292","open","16649","807","true","true"
"Japan Radiation Research Society (ID 123)","Japan Radiation Research Society10.1269","open","0","0","false","false"
"Japan Society of Mechanical Engineers (ID 124)","Japan Society of Mechanical Engineers10.1299","open","309674","11466","true","true"
"Japanese Society for Pediatric Endocrinology (ID 125)","Japanese Society for Pediatric Endocrinology10.1297","open","801","102","true","true"
"S. Karger AG (ID 127)","S. Karger AG10.1159","open","369445","18223","true","true"
"Thomas Land Publishers (ID 130)","Thomas Land Publishers10.1310","open","0","0","false","false"
"Pleiades Publishing Ltd (ID 137)","Pleiades Publishing Ltd10.1134","open","265442","39018","true","true"
"Maney Publishing (ID 138)","Maney Publishing10.1179","open","14968","1","true","true"
"Emerald (ID 140)","Emerald10.5042","open","417230","80729","true","true"
"Emerald (ID 140)","Emerald10.35241","open","417230","80729","true","true"
"Emerald (ID 140)","Emerald10.1108","open","417230","80729","true","true"
"Metapress (ID 141)","Metapress10.1092","open","108","0","false","false"
"Michigan Mathematical Journal (ID 143)","Michigan Mathematical Journal10.1307","open","2776","132","true","true"
"Project Muse (ID 147)","Project Muse10.13186","open","383877","41761","true","true"
"Project Muse (ID 147)","Project Muse10.1353","open","383877","41761","true","true"
"Project Muse (ID 147)","Project Muse10.7588","open","383877","41761","true","true"
"Project Muse (ID 147)","Project Muse10.56021","open","383877","41761","true","true"
"Project Muse (ID 147)","Project Muse10.5403","open","383877","41761","true","true"
"Project Muse (ID 147)","Project Muse10.5699","open","383877","41761","true","true"
"Project Muse (ID 147)","Project Muse10.26597","open","383877","41761","true","true"
"Notre Dame Journal of Formal Logic (ID 149)","Notre Dame Journal of Formal Logic10.1305","open","0","0","false","false"
"Massachusetts Medical Society (ID 150)","Massachusetts Medical Society10.1056","open","183212","3412","true","true"
"Canadian Science Publishing (ID 155)","Canadian Science Publishing10.1139","open","184758","6205","true","true"
"Penn State Press (Project Muse) (ID 160)","Penn State Press (Project Muse)10.1376","open","1324","0","false","false"
"Royal Pharmaceutical Society (ID 162)","Royal Pharmaceutical Society10.18578","open","13407","2551","true","false"
"Royal Pharmaceutical Society (ID 162)","Royal Pharmaceutical Society10.1211","open","13407","2551","true","false"
"Pharmaceutical Society of Japan (ID 163)","Pharmaceutical Society of Japan10.1248","open","67489","1660","true","true"
"Pion Ltd (ID 164)","Pion Ltd10.1068","open","985","0","false","false"
"Bristol University Press (ID 165)","Bristol University Press10.46692","open","33024","13727","true","true"
"Bristol University Press (ID 165)","Bristol University Press10.1332","open","33024","13727","true","true"
"Bristol University Press (ID 165)","Bristol University Press10.47674","open","33024","13727","true","true"
"Bristol University Press (ID 165)","Bristol University Press10.51952","open","33024","13727","true","true"
"Royal College of Psychiatrists (ID 170)","Royal College of Psychiatrists10.1192","open","63867","5492","true","true"
"Royal College of Surgeons of England (ID 171)","Royal College of Surgeons of England10.1308","open","8586","1229","true","true"
"The Royal Society (ID 175)","The Royal Society10.1098","open","91581","10320","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1528","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1606","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.12679","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.3821","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.4137","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1345","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.2511","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1106","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1622","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1369","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.4219","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.14240","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.4135","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.5126","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.5367","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.5301","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1243","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.7182","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.47515","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.3818","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.2968","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.47594","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1630","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1354","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1258","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.15256","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.3317","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.31124","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.5034","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.2182","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.17322","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.5153","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1177","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.2189","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.1191","open","2685446","225413","true","true"
"SAGE Publications (ID 179)","SAGE Publications10.5193","open","2685446","225413","true","true"
"Society for Applied Spectroscopy (ID 180)","Society for Applied Spectroscopy10.1366","open","49","0","true","false"
"Schweizerbart (ID 181)","Schweizerbart10.1127","open","29259","1304","false","false"
"Society for Leukocyte Biology (ID 183)","Society for Leukocyte Biology10.1189","open","0","0","false","false"
"Society of Exploration Geophysicists (ID 186)","Society of Exploration Geophysicists10.7462","open","61459","4861","true","true"
"Society of Exploration Geophysicists (ID 186)","Society of Exploration Geophysicists10.4133","open","61459","4861","true","true"
"Society of Exploration Geophysicists (ID 186)","Society of Exploration Geophysicists10.1190","open","61459","4861","true","true"
"Society of Rheology (ID 187)","Society of Rheology10.1122","open","4092","269","true","true"
"SPIE-Intl Soc Optical Eng (ID 189)","SPIE-Intl Soc Optical Eng10.1117","open","526316","47965","true","true"
"Swets & Zeitlinger Publishers (ID 191)","Swets & Zeitlinger Publishers10.1076","open","1859","0","true","false"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.15265","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.1160","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.5482","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.1055","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.3413","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.12687","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.3414","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.4338","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.15654","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.3415","open","884609","92786","true","true"
"Georg Thieme Verlag KG (ID 194)","Georg Thieme Verlag KG10.15653","open","884609","92786","true","true"
"University of Chicago Press (ID 200)","University of Chicago Press10.5950","open","481436","16016","true","true"
"University of Chicago Press (ID 200)","University of Chicago Press10.1086","open","481436","16016","true","true"
"University of Chicago Press (ID 200)","University of Chicago Press10.7208","open","481436","16016","true","true"
"Uitgeverij Boom (ID 204)","Uitgeverij Boom10.1347","open","281","0","true","false"
"Universite du Quebec a Chicoutimi (ID 208)","Universite du Quebec a Chicoutimi10.1522","open","8017","257","false","false"
"College Literature (Project Muse) (ID 217)","College Literature (Project Muse)10.1372","open","0","0","false","false"
"World Scientific Pub Co Pte Ltd (ID 219)","World Scientific Pub Co Pte Ltd10.1142","open","384906","48671","true","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","American Association for the Advancement of Science (AAAS)10.1126","open","385074","23673","true","true"
"American Association for the Advancement of Science (AAAS) (ID 221)","American Association for the Advancement of Science (AAAS)10.34133","open","385074","23673","true","true"
"American Association for Clinical Chemistry (AACC) (ID 222)","American Association for Clinical Chemistry (AACC)10.1373","open","6","0","false","false"
"American Association for Clinical Chemistry (AACC) (ID 222)","American Association for Clinical Chemistry (AACC)10.15428","open","6","0","false","false"
"American Association on Intellectual and Developmental Disabilities (AAIDD) (ID 223)","American Association on Intellectual and Developmental Disabilities (AAIDD)10.1352","open","2870","340","true","true"
"American Association of Physicists in Medicine (AAPM) (ID 224)","American Association of Physicists in Medicine (AAPM)10.37206","open","92","4","false","false"
"American Museum of Natural History (BioOne sponsored) (ID 229)","American Museum of Natural History (BioOne sponsored)10.1206","open","943","65","true","true"
"American Psychiatric Association Publishing (ID 230)","American Psychiatric Association Publishing10.1176","open","97436","3339","true","true"
"Acoustical Society of America (ASA) (ID 231)","Acoustical Society of America (ASA)10.1121","open","161264","6342","true","true"
"American Society for Clinical Investigation (ID 232)","American Society for Clinical Investigation10.1172","open","33032","3043","true","true"
"American Society of Clinical Oncology (ASCO) (ID 233)","American Society of Clinical Oncology (ASCO)10.14694","open","119774","24905","true","true"
"American Society of Clinical Oncology (ASCO) (ID 233)","American Society of Clinical Oncology (ASCO)10.1200","open","119774","24905","true","true"
"American Society of Hematology (ID 234)","American Society of Hematology10.1182","open","152728","13949","true","true"
"American Society for Microbiology (ID 235)","American Society for Microbiology10.1128","open","302324","17192","true","true"
"The Company of Biologists (ID 237)","The Company of Biologists10.1242","open","62217","5858","true","true"
"The Company of Biologists (ID 237)","The Company of Biologists10.31981","open","62217","5858","true","true"
"BMJ (ID 239)","BMJ10.1783","open","897354","81053","true","true"
"BMJ (ID 239)","BMJ10.1136","open","897354","81053","true","true"
"CABI Publishing (ID 242)","CABI Publishing10.1079","open","25276","5140","true","false"
"CABI Publishing (ID 242)","CABI Publishing10.12774","open","25276","5140","true","false"
"CABI Publishing (ID 242)","CABI Publishing10.31220","open","25276","5140","true","false"
"Chem-Bio Informatics Society (ID 245)","Chem-Bio Informatics Society10.1273","open","153","16","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory10.1261","open","106585","130608","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory10.1110","closed","106585","130608","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory10.1101","open","106585","130608","true","true"
"Cold Spring Harbor Laboratory (ID 246)","Cold Spring Harbor Laboratory10.14224","open","106585","130608","true","true"
"EDP Sciences (ID 250)","EDP Sciences10.1051","open","259492","74150","true","true"
"EDP Sciences (ID 250)","EDP Sciences10.9742","open","259492","74150","true","true"
"EDP Sciences (ID 250)","EDP Sciences10.2516","open","259492","74150","true","true"
"EDP Sciences (ID 250)","EDP Sciences10.2515","open","259492","74150","true","true"
"Environmental Health Perspectives (ID 252)","Environmental Health Perspectives10.5696","open","27549","3253","true","true"
"Environmental Health Perspectives (ID 252)","Environmental Health Perspectives10.1289","open","27549","3253","true","true"
"Project Euclid (ID 253)","Project Euclid10.3792","open","6907","75","true","true"
"Fibre Diffraction Review (ID 254)","Fibre Diffraction Review10.1382","open","0","0","false","false"
"Geological Society of America (ID 257)","Geological Society of America10.1130","open","61394","13889","true","true"
"Guttmacher Institute (ID 259)","Guttmacher Institute10.1363","open","1259","102","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.1109","open","3786465","677653","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.30941","open","3786465","677653","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.21629","open","3786465","677653","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.47962","open","3786465","677653","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.23919","open","3786465","677653","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.15325","open","3786465","677653","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE)10.36227","open","3786465","677653","true","true"
"IFIS Publishing (ID 264)","IFIS Publishing10.1616","open","143","0","true","false"
"Institution of Engineering and Technology (IET) (ID 265)","Institution of Engineering and Technology (IET)10.1049","open","249770","21649","true","true"
"IOP Publishing (ID 266)","IOP Publishing10.35848","open","856146","234338","true","true"
"IOP Publishing (ID 266)","IOP Publishing10.1209","open","856146","234338","true","true"
"IOP Publishing (ID 266)","IOP Publishing10.1088","open","856146","234338","true","true"
"IOP Publishing (ID 266)","IOP Publishing10.1238","open","856146","234338","true","true"
"IOP Publishing (ID 266)","IOP Publishing10.1070","open","856146","234338","true","true"
"Japanese Society of Applied Entomology & Zoology (ID 268)","Japanese Society of Applied Entomology & Zoology10.1303","open","6432","133","true","true"
"Japan Society for Bioscience, Biotechnology, and Agrochemistry (ID 269)","Japan Society for Bioscience, Biotechnology, and Agrochemistry10.1271","open","20226","198","true","true"
"Journal of Marine Research/Yale (ID 270)","Journal of Marine Research/Yale10.1357","open","1301","27","false","true"
"Japanese Society of Breeding (ID 271)","Japanese Society of Breeding10.1270","open","4037","237","true","true"
"Japan Science and Technology Agency (JST) (ID 272)","Japan Science and Technology Agency (JST)10.1241","open","13640","1732","true","false"
"Japan Science and Technology Agency (JST) (ID 272)","Japan Science and Technology Agency (JST)10.52926","open","13640","1732","true","false"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1519","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.14309","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1212","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.11124","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1288","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1203","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1213","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.5435","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1227","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.1249","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.2459","open","2230461","207890","true","true"
"Ovid Technologies (Wolters Kluwer Health) (ID 276)","Ovid Technologies (Wolters Kluwer Health)10.2106","open","2230461","207890","true","true"
